generated_internal_id,Transaction Amount,internal_id
CONT_AWD_W912GB09C0090_9700_-NONE-_-NONE-,344733911303.88,38084471
CONT_AWD_0021_9700_W912ER04D0004_9700,116091716928.0,1335965
CONT_AWD_W912DR12C0019_9700_-NONE-_-NONE-,92490715466.13,38039093
CONT_AWD_N0001917C0001_9700_-NONE-_-NONE-,16597954142.0,25882618
CONT_AWD_W912QR08C0053_9700_-NONE-_-NONE-,13917176427.0,38370221
CONT_AWD_W912QR13C0016_9700_-NONE-_-NONE-,10684770445.71,38373592
CONT_AWD_N0001920C0009_9700_-NONE-_-NONE-,10322900348.97,95244160
CONT_AWD_DEAC5207NA27344_8900_-NONE-_-NONE-,7855446162.18,12179201
CONT_AWD_N0001920C0009_9700_-NONE-_-NONE-,7795532764.0,95244160
CONT_AWD_N0001914C0002_9700_-NONE-_-NONE-,7017900026.25,25882346
